run,ss_id,datetime,forecast,outturn
2020-07-17 22:54:25,11715,2015-01-19 11:00:00,176.23201,515.0
2020-07-17 22:54:25,11715,2015-01-19 12:00:00,397.36206,1427.0
2020-07-17 22:54:25,11715,2015-01-19 13:00:00,585.10974,608.0
2020-07-17 22:54:25,11715,2015-01-19 14:00:00,793.1841,607.0
2020-07-17 22:54:25,11715,2015-01-19 15:00:00,857.91266,319.0
2020-07-17 22:54:25,11715,2015-01-20 11:00:00,509.51105,465.0
2020-07-17 22:54:25,11715,2015-01-20 12:00:00,915.52545,1173.0
2020-07-17 22:54:25,11715,2015-01-20 13:00:00,925.88434,347.0
2020-07-17 22:54:25,11715,2015-01-20 14:00:00,926.5787,644.0
2020-07-17 22:54:25,11715,2015-01-20 15:00:00,498.81998,762.0
2020-07-17 22:54:25,11715,2015-01-21 11:00:00,153.56464,39.0
2020-07-17 22:54:25,11715,2015-01-21 12:00:00,244.90434,101.0
2020-07-17 22:54:25,11715,2015-01-21 13:00:00,280.31094,132.0
2020-07-17 22:54:25,11715,2015-01-21 14:00:00,223.78532,96.0
2020-07-17 22:54:25,11715,2015-01-21 15:00:00,257.49316,105.0
2020-07-17 22:54:25,11715,2015-01-22 11:00:00,216.77705,146.0
2020-07-17 22:54:25,11715,2015-01-22 12:00:00,697.7029,251.0
2020-07-17 22:54:25,11715,2015-01-22 13:00:00,676.74646,549.0
2020-07-17 22:54:25,11715,2015-01-22 14:00:00,795.39966,946.0
2020-07-17 22:54:25,11715,2015-01-22 15:00:00,656.28186,305.0
2020-07-17 22:54:25,11715,2015-01-23 11:00:00,209.64691,651.0
2020-07-17 22:54:25,11715,2015-01-23 12:00:00,332.6805,1257.0
2020-07-17 22:54:25,11715,2015-01-23 13:00:00,505.2499,1354.0
2020-07-17 22:54:25,11715,2015-01-23 14:00:00,479.3463,1110.0
2020-07-17 22:54:25,11715,2015-01-23 15:00:00,508.179,617.0
2020-07-17 22:54:25,11715,2015-01-24 10:00:00,198.40268,136.0
2020-07-17 22:54:25,11715,2015-01-24 11:00:00,344.4418,765.0
2020-07-17 22:54:25,11715,2015-01-24 12:00:00,337.35458,1345.0
2020-07-17 22:54:25,11715,2015-01-24 13:00:00,609.99274,1368.0
2020-07-17 22:54:25,11715,2015-01-24 14:00:00,704.9491,1311.0
2020-07-17 22:54:25,11715,2015-01-24 15:00:00,674.5578,1002.0
2020-07-17 22:54:25,11715,2015-01-25 10:00:00,200.82204,139.0
2020-07-17 22:54:25,11715,2015-01-25 11:00:00,326.61096,483.0
2020-07-17 22:54:25,11715,2015-01-25 12:00:00,787.5695,437.0
2020-07-17 22:54:25,11715,2015-01-25 13:00:00,923.349,1164.0
2020-07-17 22:54:25,11715,2015-01-25 14:00:00,845.8726,309.0
2020-07-17 22:54:25,11715,2015-01-25 15:00:00,594.8586,244.0
2020-07-17 22:54:25,11715,2015-01-26 10:00:00,114.77806,129.0
2020-07-17 22:54:25,11715,2015-01-26 11:00:00,184.67368,581.0
2020-07-17 22:54:25,11715,2015-01-26 12:00:00,533.93616,805.0
2020-07-17 22:54:25,11715,2015-01-26 13:00:00,623.363,857.0
2020-07-17 22:54:25,11715,2015-01-26 14:00:00,736.0337,197.0
2020-07-17 22:54:25,11715,2015-01-26 15:00:00,417.66556,126.0
2020-07-17 22:54:25,11715,2015-01-27 10:00:00,146.80478,164.0
2020-07-17 22:54:25,11715,2015-01-27 11:00:00,378.21793,364.0
2020-07-17 22:54:25,11715,2015-01-27 12:00:00,455.12677,434.0
2020-07-17 22:54:25,11715,2015-01-27 13:00:00,519.86334,489.0
2020-07-17 22:54:25,11715,2015-01-27 14:00:00,560.51514,238.0
2020-07-17 22:54:25,11715,2015-01-27 15:00:00,469.59674,145.0
2020-07-17 22:54:25,11715,2015-01-28 10:00:00,202.84126,16.0
2020-07-17 22:54:25,11715,2015-01-28 11:00:00,224.32951,72.0
2020-07-17 22:54:25,11715,2015-01-28 12:00:00,266.76007,103.0
2020-07-17 22:54:25,11715,2015-01-28 13:00:00,404.90732,216.0
2020-07-17 22:54:25,11715,2015-01-28 14:00:00,364.24023,886.0
2020-07-17 22:54:25,11715,2015-01-28 15:00:00,709.26825,546.0
2020-07-17 22:54:25,11715,2015-01-29 10:00:00,172.21759,116.0
2020-07-17 22:54:25,11715,2015-01-29 11:00:00,403.4829,728.0
2020-07-17 22:54:25,11715,2015-01-29 12:00:00,621.09625,955.0
2020-07-17 22:54:25,11715,2015-01-29 13:00:00,688.61127,403.0
2020-07-17 22:54:25,11715,2015-01-29 14:00:00,716.01624,222.0
2020-07-17 22:54:25,11715,2015-01-29 15:00:00,664.301,13.0
2020-07-17 22:54:25,11715,2015-01-30 10:00:00,300.90958,53.0
2020-07-17 22:54:25,11715,2015-01-30 11:00:00,314.41025,296.0
2020-07-17 22:54:25,11715,2015-01-30 12:00:00,170.35524,278.0
2020-07-17 22:54:25,11715,2015-01-30 13:00:00,558.0586,264.0
2020-07-17 22:54:25,11715,2015-01-30 14:00:00,632.7911,956.0
2020-07-17 22:54:25,11715,2015-01-30 15:00:00,616.2852,880.0
2020-07-17 22:54:25,11715,2015-01-31 10:00:00,28.32539,91.0
2020-07-17 22:54:25,11715,2015-01-31 11:00:00,311.0102,181.0
2020-07-17 22:54:25,11715,2015-01-31 12:00:00,1026.389,83.0
2020-07-17 22:54:25,11715,2015-01-31 13:00:00,1081.6807,420.0
2020-07-17 22:54:25,11715,2015-01-31 14:00:00,1073.9564,277.0
2020-07-17 22:54:25,11715,2015-01-31 15:00:00,729.40173,167.0
2020-07-17 22:54:26,5738,2015-01-02 11:00:00,814.3475,1496.35
2020-07-17 22:54:26,5738,2015-01-02 12:00:00,1484.4025,1920.4
2020-07-17 22:54:26,5738,2015-01-02 13:00:00,1640.3351,2089.6000000000004
2020-07-17 22:54:26,5738,2015-01-02 14:00:00,1381.5077,1925.75
2020-07-17 22:54:26,5738,2015-01-03 11:00:00,592.21027,61.709999999999994
2020-07-17 22:54:26,5738,2015-01-03 12:00:00,628.7464,79.17
2020-07-17 22:54:26,5738,2015-01-03 13:00:00,614.4932,112.66999999999999
2020-07-17 22:54:26,5738,2015-01-03 14:00:00,673.7765,131.25
2020-07-17 22:54:26,5738,2015-01-04 11:00:00,378.1657,237.10000000000002
2020-07-17 22:54:26,5738,2015-01-04 12:00:00,909.75903,329.94
2020-07-17 22:54:26,5738,2015-01-04 13:00:00,1091.4025,292.2
2020-07-17 22:54:26,5738,2015-01-04 14:00:00,1557.996,213.77
2020-07-17 22:54:26,5738,2015-01-05 11:00:00,225.9966,306.25
2020-07-17 22:54:26,5738,2015-01-05 12:00:00,139.53925,515.07
2020-07-17 22:54:26,5738,2015-01-05 13:00:00,145.1969,386.36
2020-07-17 22:54:26,5738,2015-01-05 14:00:00,93.79622,429.69
2020-07-17 22:54:26,5738,2015-01-06 11:00:00,139.01901,101.65
2020-07-17 22:54:26,5738,2015-01-06 12:00:00,85.73944,107.36
2020-07-17 22:54:26,5738,2015-01-06 13:00:00,132.19316,145.25
2020-07-17 22:54:26,5738,2015-01-06 14:00:00,333.14218,392.27
2020-07-17 22:54:26,5738,2015-01-07 11:00:00,512.45465,375.27
2020-07-17 22:54:26,5738,2015-01-07 12:00:00,337.17722,324.37
2020-07-17 22:54:26,5738,2015-01-07 13:00:00,326.45398,254.81
2020-07-17 22:54:26,5738,2015-01-07 14:00:00,356.51385,208.05
2020-07-17 22:54:26,5738,2015-01-08 11:00:00,685.82153,15.399999999999999
2020-07-17 22:54:26,5738,2015-01-08 12:00:00,806.7426,70.62
2020-07-17 22:54:26,5738,2015-01-08 13:00:00,913.5406,644.89
2020-07-17 22:54:26,5738,2015-01-08 14:00:00,1021.37396,1828.15
2020-07-17 22:54:26,5738,2015-01-09 11:00:00,1344.476,1430.5
2020-07-17 22:54:26,5738,2015-01-09 12:00:00,1351.6696,1462.6
2020-07-17 22:54:26,5738,2015-01-09 13:00:00,1210.753,803.25
2020-07-17 22:54:26,5738,2015-01-09 14:00:00,622.2036,669.3
2020-07-17 22:54:26,5738,2015-01-10 11:00:00,643.7171,254.55
2020-07-17 22:54:26,5738,2015-01-10 12:00:00,413.9299,609.83
2020-07-17 22:54:26,5738,2015-01-10 13:00:00,1167.2362,1501.15
2020-07-17 22:54:26,5738,2015-01-10 14:00:00,892.9444,1173.25
2020-07-17 22:54:26,5738,2015-01-10 15:00:00,568.20685,452.04999999999995
2020-07-17 22:54:26,5738,2015-01-11 11:00:00,1281.461,1296.25
2020-07-17 22:54:26,5738,2015-01-11 12:00:00,1226.2249,1919.0500000000002
2020-07-17 22:54:26,5738,2015-01-11 13:00:00,1576.6945,2138.6
2020-07-17 22:54:26,5738,2015-01-11 14:00:00,812.4577,764.39
2020-07-17 22:54:26,5738,2015-01-11 15:00:00,699.83026,122.21
2020-07-17 22:54:26,5738,2015-01-12 11:00:00,123.515434,143.07
2020-07-17 22:54:26,5738,2015-01-12 12:00:00,133.78377,94.30000000000001
2020-07-17 22:54:26,5738,2015-01-12 13:00:00,115.45892,125.41
2020-07-17 22:54:26,5738,2015-01-12 14:00:00,67.173004,140.62
2020-07-17 22:54:26,5738,2015-01-12 15:00:00,110.73451,84.59
2020-07-17 22:54:26,5738,2015-01-13 11:00:00,577.4799,1547.2
2020-07-17 22:54:26,5738,2015-01-13 12:00:00,1453.6534,634.34
2020-07-17 22:54:26,5738,2015-01-13 13:00:00,1737.4626,73.73
2020-07-17 22:54:26,5738,2015-01-13 14:00:00,1595.1898,678.5
2020-07-17 22:54:26,5738,2015-01-13 15:00:00,965.83203,629.55
2020-07-17 22:54:26,5738,2015-01-14 11:00:00,1629.7588,1567.65
2020-07-17 22:54:26,5738,2015-01-14 12:00:00,1741.7676,2113.55
2020-07-17 22:54:26,5738,2015-01-14 13:00:00,1708.6621,1629.6
2020-07-17 22:54:26,5738,2015-01-14 14:00:00,1917.6301,1791.95
2020-07-17 22:54:26,5738,2015-01-14 15:00:00,1245.4056,912.3600000000001
2020-07-17 22:54:26,5738,2015-01-15 11:00:00,1310.6133,1324.0
2020-07-17 22:54:26,5738,2015-01-15 12:00:00,1848.8873,1042.3200000000002
2020-07-17 22:54:26,5738,2015-01-15 13:00:00,1899.4655,1394.6
2020-07-17 22:54:26,5738,2015-01-15 14:00:00,1887.9686,1115.9
2020-07-17 22:54:26,5738,2015-01-15 15:00:00,921.03864,541.6899999999999
2020-07-17 22:54:26,5738,2015-01-16 11:00:00,383.20938,256.24
2020-07-17 22:54:26,5738,2015-01-16 12:00:00,363.17834,318.14
2020-07-17 22:54:26,5738,2015-01-16 13:00:00,268.92786,1544.69
2020-07-17 22:54:26,5738,2015-01-16 14:00:00,160.2231,1877.85
2020-07-17 22:54:26,5738,2015-01-16 15:00:00,113.3093,1601.1
2020-07-17 22:54:26,5738,2015-01-17 11:00:00,1357.9122,160.86
2020-07-17 22:54:26,5738,2015-01-17 12:00:00,1648.8059,970.42
2020-07-17 22:54:26,5738,2015-01-17 13:00:00,1739.1238,2373.3
2020-07-17 22:54:26,5738,2015-01-17 14:00:00,1850.698,2270.25
2020-07-17 22:54:26,5738,2015-01-17 15:00:00,1107.8582,1748.75
2020-07-17 22:54:26,5738,2015-01-18 11:00:00,1352.0378,634.48
2020-07-17 22:54:26,5738,2015-01-18 12:00:00,1927.5375,638.06
2020-07-17 22:54:26,5738,2015-01-18 13:00:00,1563.0242,1313.95
2020-07-17 22:54:26,5738,2015-01-18 14:00:00,1357.0665,1170.25
2020-07-17 22:54:26,5738,2015-01-18 15:00:00,1195.1083,676.8
2020-07-17 22:54:26,5738,2015-01-19 11:00:00,798.2626,1682.2
2020-07-17 22:54:26,5738,2015-01-19 12:00:00,1369.5067,2121.2
2020-07-17 22:54:26,5738,2015-01-19 13:00:00,1339.3956,1684.65
2020-07-17 22:54:26,5738,2015-01-19 14:00:00,1331.0902,1851.75
2020-07-17 22:54:26,5738,2015-01-19 15:00:00,682.61914,1862.25
2020-07-17 22:54:26,5738,2015-01-20 11:00:00,889.0197,1630.1
2020-07-17 22:54:26,5738,2015-01-20 12:00:00,1457.2864,1945.3000000000002
2020-07-17 22:54:26,5738,2015-01-20 13:00:00,1431.6864,1527.0500000000002
2020-07-17 22:54:26,5738,2015-01-20 14:00:00,1539.3557,1292.6
2020-07-17 22:54:26,5738,2015-01-20 15:00:00,688.99115,1933.1
2020-07-17 22:54:26,5738,2015-01-21 11:00:00,457.33115,148.92000000000002
2020-07-17 22:54:26,5738,2015-01-21 12:00:00,395.39224,130.2
2020-07-17 22:54:26,5738,2015-01-21 13:00:00,506.05646,170.24
2020-07-17 22:54:26,5738,2015-01-21 14:00:00,788.9316,120.17
2020-07-17 22:54:26,5738,2015-01-21 15:00:00,809.7338,60.38
2020-07-17 22:54:26,5738,2015-01-22 10:00:00,530.67346,266.41
2020-07-17 22:54:26,5738,2015-01-22 11:00:00,446.9315,340.3
2020-07-17 22:54:26,5738,2015-01-22 12:00:00,1547.1355,593.8299999999999
2020-07-17 22:54:26,5738,2015-01-22 13:00:00,1896.056,1200.83
2020-07-17 22:54:26,5738,2015-01-22 14:00:00,1696.0632,1818.0500000000002
2020-07-17 22:54:26,5738,2015-01-22 15:00:00,736.6422,390.64
2020-07-17 22:54:26,5738,2015-01-23 10:00:00,440.53146,786.51
2020-07-17 22:54:26,5738,2015-01-23 11:00:00,296.66522,1567.8
2020-07-17 22:54:26,5738,2015-01-23 12:00:00,899.2126,2109.8
2020-07-17 22:54:26,5738,2015-01-23 13:00:00,1092.6984,2306.2
2020-07-17 22:54:26,5738,2015-01-23 14:00:00,1149.0168,1891.25
2020-07-17 22:54:26,5738,2015-01-23 15:00:00,951.43195,1243.35
2020-07-17 22:54:26,5738,2015-01-24 10:00:00,509.20538,959.96
2020-07-17 22:54:26,5738,2015-01-24 11:00:00,1188.475,1600.05
2020-07-17 22:54:26,5738,2015-01-24 12:00:00,1304.0084,1933.85
2020-07-17 22:54:26,5738,2015-01-24 13:00:00,1121.3276,2309.75
2020-07-17 22:54:26,5738,2015-01-24 14:00:00,1129.6135,2248.75
2020-07-17 22:54:26,5738,2015-01-24 15:00:00,1175.803,1844.8
2020-07-17 22:54:26,5738,2015-01-25 10:00:00,607.5226,469.59000000000003
2020-07-17 22:54:26,5738,2015-01-25 11:00:00,1082.4163,861.3199999999999
2020-07-17 22:54:26,5738,2015-01-25 12:00:00,1942.2883,589.55
2020-07-17 22:54:26,5738,2015-01-25 13:00:00,1633.9572,903.15
2020-07-17 22:54:26,5738,2015-01-25 14:00:00,1311.4344,2037.8000000000002
2020-07-17 22:54:26,5738,2015-01-25 15:00:00,439.20395,1338.47
2020-07-17 22:54:26,5738,2015-01-26 10:00:00,559.1975,267.68
2020-07-17 22:54:26,5738,2015-01-26 11:00:00,686.4071,639.98
2020-07-17 22:54:26,5738,2015-01-26 12:00:00,568.1956,829.1600000000001
2020-07-17 22:54:26,5738,2015-01-26 13:00:00,610.594,943.56
2020-07-17 22:54:26,5738,2015-01-26 14:00:00,1381.7218,397.65
2020-07-17 22:54:26,5738,2015-01-26 15:00:00,707.9396,238.32999999999998
2020-07-17 22:54:26,5738,2015-01-27 10:00:00,647.6365,588.89
2020-07-17 22:54:26,5738,2015-01-27 11:00:00,948.3224,981.72
2020-07-17 22:54:26,5738,2015-01-27 12:00:00,924.7294,1896.55
2020-07-17 22:54:26,5738,2015-01-27 13:00:00,1427.658,1006.5799999999999
2020-07-17 22:54:26,5738,2015-01-27 14:00:00,1517.2688,204.46
2020-07-17 22:54:26,5738,2015-01-27 15:00:00,1124.494,121.04
2020-07-17 22:54:26,5738,2015-01-28 10:00:00,546.1548,82.08
2020-07-17 22:54:26,5738,2015-01-28 11:00:00,560.7559,280.56
2020-07-17 22:54:26,5738,2015-01-28 12:00:00,710.0192,224.34999999999997
2020-07-17 22:54:26,5738,2015-01-28 13:00:00,999.8755,312.68
2020-07-17 22:54:26,5738,2015-01-28 14:00:00,1189.4601,1173.6200000000001
2020-07-17 22:54:26,5738,2015-01-28 15:00:00,1700.142,2044.4
2020-07-17 22:54:26,5738,2015-01-29 10:00:00,419.91077,1048.59
2020-07-17 22:54:26,5738,2015-01-29 11:00:00,999.682,1749.0500000000002
2020-07-17 22:54:26,5738,2015-01-29 12:00:00,1510.753,2215.0
2020-07-17 22:54:26,5738,2015-01-29 13:00:00,1605.0724,1450.76
2020-07-17 22:54:26,5738,2015-01-29 14:00:00,1592.438,399.19
2020-07-17 22:54:26,5738,2015-01-29 15:00:00,889.9366,199.75
2020-07-17 22:54:26,5738,2015-01-30 10:00:00,719.542,254.53
2020-07-17 22:54:26,5738,2015-01-30 11:00:00,1051.1295,938.74
2020-07-17 22:54:26,5738,2015-01-30 12:00:00,928.7276,859.19
2020-07-17 22:54:26,5738,2015-01-30 13:00:00,1172.9553,569.77
2020-07-17 22:54:26,5738,2015-01-30 14:00:00,1255.567,633.4300000000001
2020-07-17 22:54:26,5738,2015-01-30 15:00:00,1382.4944,408.35
2020-07-17 22:54:26,5738,2015-01-31 10:00:00,714.5496,215.55
2020-07-17 22:54:26,5738,2015-01-31 11:00:00,877.3692,300.17
2020-07-17 22:54:26,5738,2015-01-31 12:00:00,1108.081,168.01
2020-07-17 22:54:26,5738,2015-01-31 13:00:00,1361.0967,153.74
2020-07-17 22:54:26,5738,2015-01-31 14:00:00,1517.1694,210.76
2020-07-17 22:54:26,5738,2015-01-31 15:00:00,1739.7135,118.98
